Date,Open,High,Low,Close,Adj Close,Volume
2016-08-01,28.450000762939453,28.450000762939453,28.100000381469727,28.200000762939453,25.921405792236328,217000
2016-08-02,28.200000762939453,29.200000762939453,28.049999237060547,28.950000762939453,26.610803604125977,708000
2016-08-03,28.700000762939453,28.700000762939453,28.299999237060547,28.350000381469727,26.059282302856445,454000
2016-08-04,28.549999237060547,28.549999237060547,28.0,28.100000381469727,25.82948112487793,432000
2016-08-05,28.100000381469727,28.299999237060547,28.100000381469727,28.25,25.967363357543945,363000
2016-08-08,28.450000762939453,28.450000762939453,28.0,28.0,25.737564086914062,486000
2016-08-09,28.25,28.25,27.850000381469727,27.950000762939453,25.69160270690918,285000
2016-08-10,28.200000762939453,28.200000762939453,27.600000381469727,27.899999618530273,25.64564323425293,424000
2016-08-11,27.75,27.75,27.299999237060547,27.5,25.277963638305664,458000
2016-08-12,27.549999237060547,27.700000762939453,27.299999237060547,27.350000381469727,25.140085220336914,305000
2016-08-15,27.299999237060547,27.399999618530273,26.75,26.850000381469727,24.68048667907715,839000
2016-08-16,26.950000762939453,26.950000762939453,26.399999618530273,26.399999618530273,24.266845703125,851000
2016-08-17,26.399999618530273,26.5,26.200000762939453,26.5,24.358766555786133,577000
2016-08-18,26.5,26.5,26.399999618530273,26.5,24.358766555786133,334000
2016-08-19,27.0,27.450000762939453,26.600000381469727,26.700000762939453,24.542606353759766,1004000
2016-08-22,26.799999237060547,26.799999237060547,26.25,26.25,24.12896728515625,320000
2016-08-23,26.299999237060547,26.399999618530273,26.25,26.399999618530273,24.266845703125,289000
2016-08-24,26.5,26.549999237060547,26.299999237060547,26.399999618530273,24.266845703125,211000
2016-08-25,26.350000381469727,26.399999618530273,26.25,26.350000381469727,24.22088623046875,450000
2016-08-26,26.399999618530273,26.5,26.350000381469727,26.450000762939453,24.312807083129883,329000
2016-08-29,26.549999237060547,26.549999237060547,26.100000381469727,26.200000762939453,24.083005905151367,372000
2016-08-30,26.399999618530273,26.399999618530273,26.0,26.100000381469727,23.991085052490234,362000
2016-08-31,26.100000381469727,26.149999618530273,25.799999237060547,25.899999618530273,23.8072452545166,471000
2016-09-01,25.899999618530273,25.899999618530273,25.549999237060547,25.649999618530273,23.57744598388672,1978000
2016-09-02,25.649999618530273,25.649999618530273,25.0,25.149999618530273,23.117847442626953,814000
2016-09-05,25.100000381469727,25.299999237060547,24.600000381469727,24.75,22.750167846679688,688000
2016-09-06,24.899999618530273,25.5,24.850000381469727,25.399999618530273,23.347644805908203,589000
2016-09-07,25.600000381469727,26.350000381469727,25.549999237060547,26.200000762939453,24.083005905151367,1348000
2016-09-08,26.200000762939453,26.399999618530273,26.049999237060547,26.25,24.12896728515625,654000
2016-09-09,26.25,26.299999237060547,26.0,26.049999237060547,23.945125579833984,372000
2016-09-12,25.950000762939453,26.100000381469727,25.75,25.850000381469727,23.76128387451172,262000
2016-09-13,25.950000762939453,26.200000762939453,25.600000381469727,25.700000762939453,23.6234073638916,245000
2016-09-14,25.5,25.700000762939453,25.399999618530273,25.450000762939453,23.393606185913086,363000
2016-09-19,25.600000381469727,25.850000381469727,25.5,25.549999237060547,23.485525131225586,497000
2016-09-20,25.450000762939453,25.700000762939453,25.399999618530273,25.600000381469727,23.5314884185791,245000
2016-09-21,25.600000381469727,26.549999237060547,25.5,26.399999618530273,24.266845703125,710000
2016-09-22,26.5,26.850000381469727,26.200000762939453,26.25,24.12896728515625,530000
2016-09-23,26.299999237060547,26.399999618530273,26.149999618530273,26.200000762939453,24.083005905151367,353000
2016-09-26,26.25,26.25,25.950000762939453,25.950000762939453,23.853206634521484,253000
2016-09-27,25.950000762939453,25.950000762939453,25.950000762939453,25.950000762939453,23.853206634521484,0
2016-09-29,25.950000762939453,26.200000762939453,25.75,25.75,23.66936492919922,362000
2016-09-30,25.799999237060547,26.0,25.399999618530273,25.600000381469727,23.5314884185791,503000
2016-10-03,25.600000381469727,25.75,25.5,25.600000381469727,23.5314884185791,356000
2016-10-04,25.5,25.75,25.399999618530273,25.649999618530273,23.57744598388672,348000
2016-10-05,25.649999618530273,25.649999618530273,25.399999618530273,25.600000381469727,23.5314884185791,434000
2016-10-06,25.700000762939453,25.700000762939453,25.450000762939453,25.600000381469727,23.5314884185791,266000
2016-10-07,25.5,25.5,25.200000762939453,25.25,23.209766387939453,185000
2016-10-11,25.299999237060547,25.350000381469727,24.600000381469727,24.75,22.750167846679688,597000
2016-10-12,24.899999618530273,24.899999618530273,24.0,24.200000762939453,22.244609832763672,759000
2016-10-13,24.200000762939453,24.200000762939453,23.950000762939453,24.049999237060547,22.106727600097656,520000
2016-10-14,24.0,24.0,23.600000381469727,23.649999618530273,21.73904800415039,648000
