Date,Open,High,Low,Close,Adj Close,Volume
2016-08-01,175.0,177.0,174.5,177.0,151.9894561767578,34188000
2016-08-02,177.5,177.5,175.5,176.0,151.1307830810547,15250000
2016-08-03,172.5,174.0,172.0,172.5,148.12533569335938,21627000
2016-08-04,173.0,174.5,172.5,174.5,149.84271240234375,13612000
2016-08-05,175.0,177.5,174.0,177.0,151.9894561767578,25759000
2016-08-08,178.0,178.0,176.5,178.0,152.84817504882812,16200000
2016-08-09,178.5,179.5,177.0,178.5,153.27752685546875,16413000
2016-08-10,179.0,179.5,178.0,179.5,154.13621520996094,19279000
2016-08-11,177.5,178.0,175.5,176.5,151.5601348876953,28180000
2016-08-12,178.5,178.5,177.0,177.5,152.4188232421875,22947000
2016-08-15,178.5,179.0,177.5,179.0,153.7068634033203,12020000
2016-08-16,178.0,179.0,175.0,175.5,150.70140075683594,34260000
2016-08-17,177.0,177.5,176.0,177.0,151.9894561767578,21487000
2016-08-18,176.0,176.5,175.0,176.0,151.1307830810547,27253000
2016-08-19,177.0,177.5,174.0,174.5,149.84271240234375,23470000
2016-08-22,173.0,174.0,171.5,172.5,148.12533569335938,21337000
2016-08-23,174.0,175.0,173.5,175.0,150.27207946777344,20888000
2016-08-24,175.0,175.5,173.5,173.5,148.98402404785156,12092000
2016-08-25,175.0,177.0,174.5,176.5,151.5601348876953,23892000
2016-08-26,175.0,177.0,175.0,177.0,151.9894561767578,15076000
2016-08-29,175.0,177.0,174.0,176.0,151.1307830810547,16975000
2016-08-30,176.0,176.5,174.0,174.0,149.41339111328125,19471000
2016-08-31,176.5,177.0,174.5,176.5,151.5601348876953,38524000
2016-09-01,176.0,176.0,173.0,174.0,149.41339111328125,22692000
2016-09-02,176.5,176.5,174.0,174.0,149.41339111328125,16999000
2016-09-05,176.5,177.5,176.5,177.0,151.9894561767578,22381000
2016-09-06,177.0,179.0,176.5,178.0,152.84817504882812,26024000
2016-09-07,180.5,185.0,180.0,185.0,158.85902404785156,49761000
2016-09-08,182.5,184.5,182.5,183.0,157.1416473388672,30204000
2016-09-09,181.0,181.0,179.5,180.5,154.99493408203125,29793000
2016-09-12,177.5,177.5,174.0,175.5,150.70140075683594,43036000
2016-09-13,176.5,176.5,173.5,175.5,150.70140075683594,36834000
2016-09-14,174.0,176.0,173.5,174.0,149.41339111328125,52877000
2016-09-19,179.5,183.0,178.5,183.0,157.1416473388672,57055000
2016-09-20,182.0,183.5,181.5,183.5,157.57098388671875,23641000
2016-09-21,181.0,184.0,180.5,184.0,158.00033569335938,25008000
2016-09-22,185.0,185.5,183.5,185.0,158.85902404785156,20980000
2016-09-23,185.0,187.5,184.5,187.0,160.57643127441406,23213000
2016-09-26,183.5,185.0,183.0,183.5,157.57098388671875,24225000
2016-09-27,183.5,183.5,183.5,183.5,157.57098388671875,0
